date,city,temperature,humidity,rainfall,wind_speed,cloudburst
2023-07-01,Mumbai,31.2,82,12.5,15.2,0
2023-07-02,Mumbai,30.5,85,45.2,18.5,0
2023-07-03,Mumbai,29.8,92,115.4,25.4,1
2023-07-04,Mumbai,29.5,88,32.1,14.2,0
2023-07-05,Mumbai,31.0,78,5.2,12.1,0
2023-07-06,Mumbai,32.1,75,0.0,10.5,0
2023-07-07,Mumbai,28.5,95,142.6,32.5,1
2023-07-08,Mumbai,29.2,89,65.3,22.1,0
2023-07-09,Mumbai,30.1,84,18.5,16.8,0
2023-07-10,Mumbai,31.5,79,2.1,11.2,0
2023-08-01,Delhi,35.2,65,0.0,8.5,0
2023-08-02,Delhi,34.8,70,12.5,12.4,0
2023-08-03,Delhi,32.5,85,55.2,18.6,0
2023-08-04,Delhi,31.2,92,105.8,24.5,1
2023-08-05,Delhi,33.5,78,15.2,14.2,0
2023-08-06,Delhi,35.8,62,0.0,9.5,0
2023-08-07,Delhi,36.2,58,0.0,7.2,0
2023-08-08,Delhi,34.1,72,8.5,15.6,0
2023-08-09,Delhi,32.8,88,85.4,28.4,0
2023-08-10,Delhi,31.5,94,135.2,35.2,1
2023-07-15,Shimla,22.5,85,25.4,12.5,0
2023-07-16,Shimla,21.2,90,65.8,18.4,0
2023-07-17,Shimla,19.8,96,155.2,28.6,1
2023-07-18,Shimla,20.5,92,85.4,22.1,0
2023-07-19,Shimla,22.8,82,15.2,14.5,0
2023-07-20,Shimla,24.1,75,5.4,10.2,0
2023-07-21,Shimla,23.5,78,12.8,11.5,0
2023-07-22,Shimla,21.8,88,45.6,16.8,0
2023-07-23,Shimla,19.5,95,128.5,31.2,1
2023-07-24,Shimla,20.2,91,55.2,20.5,0
2023-08-15,Kochi,28.5,88,45.2,15.6,0
2023-08-16,Kochi,27.8,92,85.6,22.4,0
2023-08-17,Kochi,27.2,96,145.8,29.5,1
2023-08-18,Kochi,28.1,89,35.2,18.2,0
2023-08-19,Kochi,29.5,82,12.5,14.5,0
2023-08-20,Kochi,30.2,78,5.4,12.1,0
2023-08-21,Kochi,29.8,84,25.6,16.8,0
2023-08-22,Kochi,28.5,90,75.2,24.5,0
2023-08-23,Kochi,27.5,95,165.4,34.2,1
2023-08-24,Kochi,28.2,88,42.1,19.5,0
2023-09-01,Guwahati,25.5,85,35.2,14.2,0
2023-09-02,Guwahati,24.8,90,75.6,18.5,0
2023-09-03,Guwahati,24.2,95,185.2,28.4,1
2023-09-04,Guwahati,25.1,88,45.2,16.5,0
2023-09-05,Guwahati,26.5,82,15.4,12.4,0
2023-09-06,Guwahati,27.2,78,5.2,10.5,0
2023-09-07,Guwahati,26.8,84,22.5,15.2,0
2023-09-08,Guwahati,25.5,92,85.4,22.1,0
2023-09-09,Guwahati,24.5,96,195.6,32.5,1
2023-09-10,Guwahati,25.2,89,52.4,18.6,0
